tissue_sample_id,communication_celltype,n_cells,dataset,donor,donor_ID,status,n_total_cells,n_tissue_samples_same_donor_status,fraction,meets_min_cells,coverage_status
"GSE134809::GSM3972014::Non-inflamed","B_cell::DN2",8,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.00387596899224806,FALSE,"low_cell_count"
"GSE134809::GSM3972014::Non-inflamed","B_cell::IgM-only",3,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.00145348837209302,FALSE,"low_cell_count"
"GSE134809::GSM3972014::Non-inflamed","B_cell::MZ",1,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.000484496124031008,FALSE,"low_cell_count"
"GSE134809::GSM3972014::Non-inflamed","B_cell::Naïve B",9,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.00436046511627907,FALSE,"low_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Endothelial",26,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.0125968992248062,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Epithelial",74,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.0358527131782946,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Mast",19,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.00920542635658915,FALSE,"low_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Mesenchymal_stromal",68,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.0329457364341085,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Myeloid",54,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.0261627906976744,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Plasma::Activated plasma",54,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.0261627906976744,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Plasma::IgA plasma",134,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.064922480620155,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Plasma::IgG plasma",20,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.00968992248062015,TRUE,"adequate_cell_count"
"GSE134809::GSM3972014::Non-inflamed","Plasma::Transitional B",0,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972014::Non-inflamed","T_NK",1546,"GSE134809","GSM3972014","GSE134809::GSM3972014","Non-inflamed",2064,1,0.749031007751938,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","B_cell::ActB3",15,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00497347480106101,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","B_cell::CSM",248,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.0822281167108753,TRUE,"adequate_cell_count"
"GSE134809::GSM3972015::Non-inflamed","B_cell::Centroblast B",15,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00497347480106101,FALSE,"low_cell_count"
"GSE134809::GSM3972015::Non-inflamed","B_cell::Centrocyte B",0,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0,FALSE,"absent_zero_cells"
"GSE134809::GSM3972015::Non-inflamed","B_cell::DN2",11,"GSE134809","GSM3972015","GSE134809::GSM3972015","Non-inflamed",3016,1,0.00364721485411141,FALSE,"low_cell_count"
