dataset,sender,receiver,contrast,reference,target,n_reference_donors,n_target_donors,n_paired_donors,n_reference_only,n_target_only,both_groups_present
"GSE134809","B_cell::Centroblast B","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centroblast B","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centroblast B","T_NK","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centroblast B","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centrocyte B","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centrocyte B","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","B_cell::Centrocyte B","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centrocyte B","Epithelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Epithelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Epithelial","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centrocyte B","Epithelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","B_cell::Centrocyte B","Epithelial","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centrocyte B","Mast","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Mast","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Mast","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centrocyte B","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","B_cell::Centrocyte B","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centrocyte B","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centrocyte B","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","B_cell::Centrocyte B","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centrocyte B","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centrocyte B","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","B_cell::Centrocyte B","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::Centrocyte B","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::Centrocyte B","T_NK","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::Centrocyte B","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,1,0,1,1,TRUE
"GSE134809","B_cell::Centrocyte B","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::DN2","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::DN2","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","B_cell::DN2","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::DN2","Epithelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Epithelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Epithelial","Inflamed_minus_Control","Control","Inflamed",0,4,0,0,4,FALSE
"GSE134809","B_cell::DN2","Epithelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,4,0,1,4,TRUE
"GSE134809","B_cell::DN2","Epithelial","Stricture_minus_Inflamed","Inflamed","Stricture",4,0,0,4,0,FALSE
"GSE134809","B_cell::DN2","Mast","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Mast","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Mast","Inflamed_minus_Control","Control","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::DN2","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,2,0,0,2,FALSE
"GSE134809","B_cell::DN2","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",2,0,0,2,0,FALSE
"GSE134809","B_cell::DN2","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::DN2","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","B_cell::DN2","Mesenchymal_stromal","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::DN2","Myeloid","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Myeloid","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","Myeloid","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::DN2","Myeloid","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","B_cell::DN2","Myeloid","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::DN2","T_NK","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","T_NK","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::DN2","T_NK","Inflamed_minus_Control","Control","Inflamed",0,5,0,0,5,FALSE
"GSE134809","B_cell::DN2","T_NK","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",1,5,0,1,5,TRUE
"GSE134809","B_cell::DN2","T_NK","Stricture_minus_Inflamed","Inflamed","Stricture",5,0,0,5,0,FALSE
"GSE134809","B_cell::IgM-only","Endothelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Endothelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Endothelial","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Endothelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Endothelial","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","B_cell::IgM-only","Epithelial","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Epithelial","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Epithelial","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Epithelial","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Epithelial","Stricture_minus_Inflamed","Inflamed","Stricture",3,0,0,3,0,FALSE
"GSE134809","B_cell::IgM-only","Mast","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Mast","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Mast","Inflamed_minus_Control","Control","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::IgM-only","Mast","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,1,0,0,1,FALSE
"GSE134809","B_cell::IgM-only","Mast","Stricture_minus_Inflamed","Inflamed","Stricture",1,0,0,1,0,FALSE
"GSE134809","B_cell::IgM-only","Mesenchymal_stromal","Stricture_minus_Non_stricture","Non-stricture","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Mesenchymal_stromal","Stricture_minus_Control","Control","Stricture",0,0,0,0,0,FALSE
"GSE134809","B_cell::IgM-only","Mesenchymal_stromal","Inflamed_minus_Control","Control","Inflamed",0,3,0,0,3,FALSE
"GSE134809","B_cell::IgM-only","Mesenchymal_stromal","Inflamed_minus_Non_inflamed","Non-inflamed","Inflamed",0,3,0,0,3,FALSE
